instancja	liczba_wykonan	rozwiazanie	sciezka	czasy[s]
./data/tsp_6_1.txt	100	132	(0, 1, 2, 3, 4, 5, 0)	0,0005024;0,000499;0,0004985;0,0005076;0,0005071;0,0005004;0,0005086;0,0006266;0,0007278;0,0005089;0,0004961;0,0004991;0,0005112;0,0005032;0,0005079;0,0005037;0,0004979;0,0005004;0,0004987;0,0004989;0,0004822;0,0004691;0,0004668;0,0004682;0,0004716;0,0004796;0,0004712;0,0004867;0,0005028;0,0005003;0,0005069;0,0006546;0,0006915;0,0005026;0,0004675;0,000496;0,0004699;0,0004725;0,000471;0,0004682;0,0004635;0,0004631;0,0004625;0,0004649;0,0004783;0,0004743;0,0004644;0,0004663;0,000499;0,0004718;0,0004682;0,00047;0,0004736;0,0004734;0,0004631;0,0004647;0,0004624;0,0004656;0,0004624;0,0004651;0,0004619;0,0004749;0,0004655;0,0004674;0,0004665;0,0004757;0,0004756;0,0004728;0,0004726;0,0004963;0,000467;0,0004688;0,0004669;0,000467;0,0004655;0,0004681;0,000484;0,0005008;0,0004818;0,0004702;0,0004688;0,0004877;0,000514;0,0005121;0,0005031;0,0005058;0,0004992;0,0004943;0,0004923;0,000497;0,0005095;0,0005016;0,0004974;0,0005002;0,0005029;0,0004982;0,0004991;0,0004998;0,000499;0,0005038
./data/tsp_6_2.txt	100	80	(0, 5, 1, 2, 3, 4, 0)	0,0006728;0,0006683;0,000522;0,0004462;0,0004441;0,000446;0,0004678;0,0004517;0,0004464;0,0004498;0,0004485;0,0004575;0,000445;0,0004466;0,000443;0,0004456;0,0004437;0,000455;0,0005563;0,0006934;0,0004504;0,0004211;0,0004184;0,0004208;0,000429;0,0004312;0,0004677;0,0004478;0,0004544;0,0004398;0,0004209;0,0004226;0,0004216;0,0004223;0,0004258;0,0004365;0,000447;0,0004499;0,0004595;0,0004492;0,0004465;0,0004491;0,0004193;0,0004331;0,0004468;0,0004505;0,0004459;0,0004327;0,0004239;0,0004395;0,000421;0,0004229;0,000421;0,0004213;0,0004374;0,0004509;0,0004422;0,0004209;0,0004166;0,000429;0,0004173;0,0004218;0,0004388;0,0004472;0,0004456;0,0004457;0,000415;0,0004185;0,000416;0,0004265;0,0004433;0,0004635;0,0004468;0,0004501;0,000451;0,0004492;0,0004453;0,0004467;0,0004445;0,000446;0,0004442;0,0004462;0,0004457;0,0004543;0,0004335;0,0004177;0,000416;0,0004181;0,0004158;0,0004172;0,0004492;0,0004486;0,0004512;0,0004509;0,0004577;0,0004464;0,0004437;0,0004471;0,0004447;0,0004467
./data/tsp_10.txt	100	212	(0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0)	2,6444785;2,6766851;2,6617052;2,6455602;2,649335;2,6226512;2,6266659;2,615415;2,6234755;2,6331768;2,5983787;2,5872039;2,6173239;2,6264278;2,5514669;2,5548065;2,5687683;2,5431412;2,5827404;2,5386356;2,5633092;2,5890068;2,6240301;2,582222;2,5639285;2,5887899;2,6039893;2,6082928;2,5509831;2,5412716;2,5682127;2,5629001;2,567352;2,5374331;2,5849436;2,5418168;2,5657035;2,5612225;2,5487124;2,5522604;2,5747076;2,5400532;2,5727084;2,5477799;2,5547928;2,5701862;2,568103;2,5602311;2,5784754;2,5565577;2,5717178;2,552834;2,5832331;2,5469352;2,553131;2,5650364;2,5610407;2,5717327;2,5700631;2,5614903;2,5724955;2,5666263;2,5739419;2,5362086;2,5729854;2,5564465;2,5687372;2,5576783;2,574044;2,5540915;2,5790941;2,571559;2,5780996;2,5586122;2,5539907;2,5646849;2,5566903;2,548153;2,5555022;2,5446904;2,555356;2,5403907;2,5611612;2,5467075;2,5881937;2,5708128;2,5753791;2,5412863;2,5499009;2,5513643;2,5599388;2,5534821;2,56667;2,5599517;2,5573672;2,5387134;2,5570975;2,5454466;2,5679673;2,5383379
./data/tsp_12.txt	20	NULL	NULL	399;393;389;393;389;393;389;393;390;393;389;392;389;392;389;392;388;392;389;392
./data/tsp_14.txt	20	NULL	NULL	89882;87049;87377;86960;87359;87099;87649;87397;87563;87443;87292;87305;88030;87400;87416;87098;87368;87749;87045;87394
./data/tsp_15.txt	20	NULL	NULL	1419873;1385778;1389061;1385602;1390038;1390322;1388552;1383519;1394509;1387715;1385644;1387828;1385849;1387964;1395482;1387921;1385025;1388347;1387501;1387753
