instancja	liczba_wykonan	rozwiazanie	sciezka	czasy[s]
tsp_10.txt	100	212	(0, 3, 4, 2, 8, 7, 6, 9, 1, 5, 0)	0,004;0,004;0,004;0,004;0,004;0,004;0,01;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,009;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,01;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,009;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,011;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,012;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,003;0,004;0,011;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,004;0,009
tsp_12.txt	100	264	(0, 1, 8, 4, 6, 2, 11, 9, 7, 5, 3, 10, 0)	0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,03;0,02;0,02;0,03;0,02;0,03;0,02
tsp_13.txt	100	269	(0, 10, 3, 5, 7, 9, 11, 2, 6, 4, 8, 1, 12, 0)	0,07;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06;0,06
tsp_14.txt	100	282	(0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 1, 12, 0)	0,15;0,15;0,16;0,15;0,15;0,15;0,15;0,14;0,16;0,15;0,15;0,15;0,15;0,14;0,14;0,15;0,15;0,15;0,14;0,14;0,14;0,15;0,15;0,14;0,14;0,14;0,14;0,15;0,14;0,14;0,14;0,14;0,14;0,15;0,15;0,14;0,14;0,15;0,14;0,14;0,15;0,15;0,14;0,14;0,14;0,14;0,15;0,15;0,14;0,14;0,14;0,14;0,14;0,15;0,15;0,15;0,15;0,14;0,14;0,16;0,15;0,15;0,14;0,15;0,14;0,15;0,15;0,15;0,15;0,14;0,14;0,15;0,15;0,15;0,15;0,14;0,14;0,14;0,15;0,15;0,15;0,14;0,14;0,14;0,15;0,15;0,15;0,15;0,15;0,15;0,14;0,15;0,15;0,15;0,15;0,15;0,14;0,15;0,15;0,15
tsp_15.txt	100	291	(0, 10, 3, 5, 7, 9, 13, 11, 2, 6, 4, 8, 14, 1, 12, 0)	0,37;0,35;0,36;0,36;0,35;0,36;0,36;0,35;0,35;0,36;0,36;0,35;0,36;0,37;0,35;0,36;0,35;0,36;0,36;0,35;0,36;0,36;0,38;0,36;0,37;0,37;0,36;0,37;0,36;0,36;0,36;0,35;0,36;0,36;0,37;0,35;0,36;0,37;0,35;0,36;0,35;0,36;0,36;0,35;0,36;0,36;0,37;0,35;0,36;0,36;0,36;0,36;0,35;0,36;0,36;0,35;0,36;0,36;0,37;0,35;0,36;0,37;0,36;0,36;0,35;0,36;0,37;0,35;0,36;0,36;0,36;0,35;0,36;0,36;0,36;0,36;0,35;0,36;0,36;0,35;0,36;0,36;0,36;0,35;0,36;0,37;0,35;0,36;0,35;0,36;0,36;0,35;0,36;0,36;0,36;0,35;0,37;0,37;0,36;0,36
tsp_17.txt	100	39	(0, 2, 13, 1, 9, 10, 12, 5, 6, 14, 15, 3, 4, 7, 8, 16, 11, 0)	2,33;2,33;2,33;2,31;2,34;2,34;2,34;2,3;2,34;2,34;2,31;2,29;2,34;2,33;2,32;2,34;2,34;2,31;2,3;2,34;2,34;2,31;2,35;2,35;2,34;2,33;2,33;2,32;2,3;2,35;2,36;2,33;2,35;2,35;2,36;2,31;2,34;2,35;2,32;2,3;2,34;2,33;2,31;2,34;2,34;2,32;2,37;2,35;2,34;2,31;2,36;2,33;2,32;2,3;2,33;2,32;2,31;2,33;2,34;2,35;2,35;2,35;2,34;2,29;2,33;2,33;2,31;2,29;2,34;2,33;2,31;2,33;2,32;2,31;2,34;2,33;2,32;2,29;2,33;2,32;2,31;2,29;2,34;2,34;2,38;2,35;2,34;2,34;2,36;2,35;2,33;2,32;2,35;2,34;2,33;2,32;2,34;2,33;2,33;2,37
br17.atsp	100	39	(0, 2, 13, 1, 9, 10, 12, 5, 6, 14, 15, 3, 4, 7, 8, 16, 11, 0)	2,4;2,4;2,41;2,46;2,38;2,53;2,49;2,51;2,46;2,47;2,58;2,61;2,55;2,54;2,57;2,52;2,54;2,6;2,52;2,52;2,56;2,55;2,51;2,49;2,45;2,46;2,56;2,39;2,4;2,43;2,44;2,39;2,4;2,53;2,45;2,46;2,41;2,48;2,53;2,43;2,57;2,51;2,49;2,61;2,5;2,49;2,53;2,47;2,5;2,48;2,48;2,47;2,45;2,49;2,48;2,44;2,37;2,4;2,43;2,54;2,47;2,48;2,47;2,49;2,45;2,43;2,46;2,47;2,4;2,47;2,45;2,43;2,47;2,45;2,44;2,42;2,68;2,51;2,49;2,44;2,48;2,45;2,43;2,41;2,39;2,43;2,44;2,38;2,41;2,5;2,43;2,54;2,39;2,43;2,54;2,57;2,48;2,43;2,45;2,45
gr17.tsp	100	2085	(0, 3, 12, 6, 7, 5, 16, 13, 14, 2, 10, 9, 1, 4, 8, 11, 15, 0)	2,58;2,56;2,76;2,59;2,57;2,53;2,47;2,46;2,44;2,48;2,47;2,47;2,46;2,6;2,6;2,78;2,93;2,94;2,66;2,54;2,56;2,58;2,54;2,52;2,59;2,74;2,58;2,56;2,66;2,86;2,77;2,56;2,61;2,62;2,57;2,56;2,49;2,61;2,56;2,5;2,46;2,5;2,5;2,48;2,47;2,53;2,55;2,5;2,52;2,53;2,65;2,78;2,52;2,53;2,5;2,62;2,57;2,47;2,47;2,55;2,63;2,68;2,62;2,5;2,62;2,58;2,59;2,81;2,63;2,59;2,78;2,67;2,77;2,63;2,55;2,8;2,67;2,84;2,59;2,48;2,91;2,87;2,61;2,55;2,66;2,79;2,48;2,67;2,72;2,53;2,55;2,81;2,97;2,84;2,92;2,54;2,8;2,59;2,75;2,61
gr21.tsp	10	2707	(0, 6, 7, 5, 15, 4, 8, 2, 1, 20, 14, 13, 12, 17, 9, 16, 18, 19, 10, 3, 11, 0)	261,71;256,77;250,37;249,47;250,25;250,87;247,82;249,04;250,45;255,95
